Ref Link	Seq	Page Type	Section	Keyword	Idea?	Title	Message	lastmod	changefreq	priority
	0	index	Intro			Intro		2016-09-05	monthly	0.1
intro	1		Intro	Introduction		Introduction		2016-09-05	monthly	1.0
thinking	2		Intro	Thinking	Yes	This Thinking Business		2016-09-05	monthly	1.0
	10	index	Fundamental			Fundamental		2016-09-05	monthly	0.1
uncertainty	11		Fundamental	Uncertainty	Yes	Acknowledge Uncertainty		2016-12-30	monthly	1.0
inconvenient	12		Fundamental	Inconvenient	Yes	The Inconvenient Nature of Software Development		2016-09-05	monthly	1.0
balance	13		Fundamental	Balance	Yes	Software Development is a Balancing Act		2016-09-05	monthly	1.0
value	14		Fundamental	Value	Yes	Create Value for Customers		2016-09-05	monthly	1.0
auto	15		Fundamental	Automation	Yes	Automate Repetitive Tasks		2016-09-05	monthly	1.0
reuse	16		Fundamental	Reuse	Yes	Use Things Already Known to Work		2016-09-05	monthly	1.0
simplify	17		Fundamental	Simplify	Yes	Simplify and Generalize		2016-09-05	monthly	1.0
decomposition	18		Fundamental	Decomposition	Yes	Decomposition		2016-09-05	monthly	1.0
cohesion	19		Fundamental	Cohesion	Yes	Cohesion		2016-09-05	monthly	1.0
loose	20		Fundamental	Coupling	Yes	Loose Coupling		2016-09-05	monthly	1.0
communicate	21		Fundamental	Communication	Yes	Communicate Clearly		2016-09-05	monthly	1.0
alternatives	22		Fundamental	Alternatives	Yes	Consider Alternatives		2016-09-05	monthly	1.0
arguments	23		Fundamental	Arguments	Yes	Have Wonderful Arguments		2016-09-05	monthly	1.0
show	24		Fundamental	Show	Yes	Show Rather than Tell		2016-09-05	monthly	1.0
pdca	25		Fundamental	Experiment	Yes	Plan-Do-Check-Act		2016-09-05	monthly	1.0
loops	26		Fundamental	Feedback	Yes	Shorten Feedback Loops		2016-09-05	monthly	1.0
arc	27		Fundamental	Arc	Yes	Understand the Arc of Your Project		2016-09-05	monthly	1.0
not-done	28		Fundamental	Not Done	Yes	What's Not Done is as Important as What's Done		2016-09-05	monthly	1.0
	30	index	Leadership			Leadership		2016-09-05	monthly	0.1
entrepreneur	31		Leadership	Entrepreneur	Yes	Entrepreneurial Leadership		2016-09-05	monthly	1.0
teams	32		Leadership	Teams	Yes	Build Great Teams		2016-09-05	monthly	1.0
govern	33		Leadership	Govern	Yes	Govern Wisely		2016-09-05	monthly	1.0
economic	34		Leadership	Economic	Yes	Take a Long-Term Economic Perspective		2016-09-05	monthly	1.0
wrong	35		Leadership	Risk	Yes	Consider What Might Go Wrong		2016-09-05	monthly	1.0
	40	index	People			People		2016-09-05	monthly	0.1
engagement	41		People	Engagement	Yes	Increase Developer Engagement		2016-09-05	monthly	1.0
growing	42		People	Growth	Yes	Developers are Always Growing		2016-09-05	monthly	1.0
interchange	43		People	Interchangeable	Yes	Developers Are Not Interchangeable		2016-09-05	monthly	1.0
	50	index	Initiation			Initiation		2016-09-05	monthly	0.1
